sample,term,name
GSM1007865,UBERON:0002204,musculoskeletal system
GSM1007867,UBERON:0002204,musculoskeletal system
GSM1007869,UBERON:0002204,musculoskeletal system
GSM1007871,UBERON:0002204,musculoskeletal system
GSM346821,UBERON:0001066,intervertebral disk
GSM346822,UBERON:0001066,intervertebral disk
GSM346823,UBERON:0001066,intervertebral disk
GSM1125390,UBERON:0002306,nasal mucus
GSM1125391,UBERON:0002306,nasal mucus
GSM1125392,UBERON:0002306,nasal mucus
GSM1125394,UBERON:0002306,nasal mucus
GSM1125395,UBERON:0002306,nasal mucus
GSM1125396,UBERON:0002306,nasal mucus
GSM1125397,UBERON:0002306,nasal mucus
GSM1125398,UBERON:0002306,nasal mucus
GSM1125400,UBERON:0002306,nasal mucus
GSM1125401,UBERON:0002306,nasal mucus
GSM1125402,UBERON:0002306,nasal mucus
GSM1125403,UBERON:0002306,nasal mucus
GSM1125404,UBERON:0002306,nasal mucus
GSM1125406,UBERON:0002306,nasal mucus
GSM1125390,UBERON:0002306,nasal mucus
GSM1125391,UBERON:0002306,nasal mucus
GSM1125392,UBERON:0002306,nasal mucus
GSM1125394,UBERON:0002306,nasal mucus
GSM1125395,UBERON:0002306,nasal mucus
GSM1125396,UBERON:0002306,nasal mucus
GSM1125397,UBERON:0002306,nasal mucus
GSM1125398,UBERON:0002306,nasal mucus
GSM1125400,UBERON:0002306,nasal mucus
GSM1125401,UBERON:0002306,nasal mucus
GSM1125402,UBERON:0002306,nasal mucus
GSM1125403,UBERON:0002306,nasal mucus
GSM1125404,UBERON:0002306,nasal mucus
GSM1125406,UBERON:0002306,nasal mucus
GSM1125390,UBERON:0002306,nasal mucus
GSM1125391,UBERON:0002306,nasal mucus
GSM1125392,UBERON:0002306,nasal mucus
GSM1125394,UBERON:0002306,nasal mucus
GSM1125395,UBERON:0002306,nasal mucus
GSM1125396,UBERON:0002306,nasal mucus
GSM1125397,UBERON:0002306,nasal mucus
GSM1125398,UBERON:0002306,nasal mucus
GSM1125400,UBERON:0002306,nasal mucus
GSM1125401,UBERON:0002306,nasal mucus
GSM1125402,UBERON:0002306,nasal mucus
GSM1125403,UBERON:0002306,nasal mucus
GSM1125404,UBERON:0002306,nasal mucus
GSM1125406,UBERON:0002306,nasal mucus
GSM1125393,UBERON:0002306,nasal mucus
GSM1125399,UBERON:0002306,nasal mucus
GSM1125405,UBERON:0002306,nasal mucus
GSM1125393,UBERON:0002306,nasal mucus
GSM1125399,UBERON:0002306,nasal mucus
GSM1125405,UBERON:0002306,nasal mucus
GSM1125393,UBERON:0002306,nasal mucus
GSM1125399,UBERON:0002306,nasal mucus
GSM1125405,UBERON:0002306,nasal mucus
GSM1125407,UBERON:0002306,nasal mucus
GSM1125410,UBERON:0002306,nasal mucus
GSM1125412,UBERON:0002306,nasal mucus
GSM1125414,UBERON:0002306,nasal mucus
GSM1125416,UBERON:0002306,nasal mucus
GSM1125421,UBERON:0002306,nasal mucus
GSM1125422,UBERON:0002306,nasal mucus
GSM1125423,UBERON:0002306,nasal mucus
GSM1125425,UBERON:0002306,nasal mucus
GSM1125426,UBERON:0002306,nasal mucus
GSM1125431,UBERON:0002306,nasal mucus
GSM1125432,UBERON:0002306,nasal mucus
GSM1125438,UBERON:0002306,nasal mucus
GSM1125439,UBERON:0002306,nasal mucus
GSM1125440,UBERON:0002306,nasal mucus
GSM1125442,UBERON:0002306,nasal mucus
GSM1125443,UBERON:0002306,nasal mucus
GSM1125448,UBERON:0002306,nasal mucus
GSM1125449,UBERON:0002306,nasal mucus
GSM1125453,UBERON:0002306,nasal mucus
GSM1125454,UBERON:0002306,nasal mucus
GSM1125456,UBERON:0002306,nasal mucus
GSM1125457,UBERON:0002306,nasal mucus
GSM1125462,UBERON:0002306,nasal mucus
GSM1125467,UBERON:0002306,nasal mucus
GSM1125470,UBERON:0002306,nasal mucus
GSM1125473,UBERON:0002306,nasal mucus
GSM1125476,UBERON:0002306,nasal mucus
GSM1125479,UBERON:0002306,nasal mucus
GSM1125480,UBERON:0002306,nasal mucus
GSM1125408,UBERON:0002306,nasal mucus
GSM1125409,UBERON:0002306,nasal mucus
GSM1125411,UBERON:0002306,nasal mucus
GSM1125413,UBERON:0002306,nasal mucus
GSM1125415,UBERON:0002306,nasal mucus
GSM1125417,UBERON:0002306,nasal mucus
GSM1125464,UBERON:0002306,nasal mucus
GSM1125465,UBERON:0002306,nasal mucus
GSM1125466,UBERON:0002306,nasal mucus
GSM1125468,UBERON:0002306,nasal mucus
GSM1125469,UBERON:0002306,nasal mucus
GSM1125471,UBERON:0002306,nasal mucus
GSM1125472,UBERON:0002306,nasal mucus
GSM1125474,UBERON:0002306,nasal mucus
GSM1125475,UBERON:0002306,nasal mucus
GSM1125477,UBERON:0002306,nasal mucus
GSM1125478,UBERON:0002306,nasal mucus
GSM1125418,UBERON:0002306,nasal mucus
GSM1125419,UBERON:0002306,nasal mucus
GSM1125420,UBERON:0002306,nasal mucus
GSM1125424,UBERON:0002306,nasal mucus
GSM1125427,UBERON:0002306,nasal mucus
GSM1125428,UBERON:0002306,nasal mucus
GSM1125429,UBERON:0002306,nasal mucus
GSM1125430,UBERON:0002306,nasal mucus
GSM1125433,UBERON:0002306,nasal mucus
GSM1125434,UBERON:0002306,nasal mucus
GSM1125435,UBERON:0002306,nasal mucus
GSM1125436,UBERON:0002306,nasal mucus
GSM1125437,UBERON:0002306,nasal mucus
GSM1125441,UBERON:0002306,nasal mucus
GSM1125444,UBERON:0002306,nasal mucus
GSM1125445,UBERON:0002306,nasal mucus
GSM1125446,UBERON:0002306,nasal mucus
GSM1125447,UBERON:0002306,nasal mucus
GSM1125450,UBERON:0002306,nasal mucus
GSM1125451,UBERON:0002306,nasal mucus
GSM1125452,UBERON:0002306,nasal mucus
GSM1125455,UBERON:0002306,nasal mucus
GSM1125458,UBERON:0002306,nasal mucus
GSM1125459,UBERON:0002306,nasal mucus
GSM1125460,UBERON:0002306,nasal mucus
GSM1125461,UBERON:0002306,nasal mucus
GSM1125463,UBERON:0002306,nasal mucus
GSM5745616,UBERON:0001707,nasal cavity
GSM5745618,UBERON:0001707,nasal cavity
GSM5745635,UBERON:0001707,nasal cavity
GSM5745636,UBERON:0001707,nasal cavity
GSM5745638,UBERON:0001707,nasal cavity
GSM5745641,UBERON:0001707,nasal cavity
GSM5745642,UBERON:0001707,nasal cavity
GSM5745645,UBERON:0001707,nasal cavity
GSM5745648,UBERON:0001707,nasal cavity
GSM5745651,UBERON:0001707,nasal cavity
GSM5745654,UBERON:0001707,nasal cavity
GSM5745658,UBERON:0001707,nasal cavity
GSM5745661,UBERON:0001707,nasal cavity
GSM5745665,UBERON:0001707,nasal cavity
GSM5745639,UBERON:0001707,nasal cavity
GSM5745655,UBERON:0001707,nasal cavity
GSM5745664,UBERON:0001707,nasal cavity
