id,name,age_group
HsapDv:0000273,1-month-old stage,infant
HsapDv:0000246,1-year-old stage,infant
HsapDv:0000183,10-month-old stage,infant
HsapDv:0000104,10-year-old stage,child
HsapDv:0000228,100-year-old stage,elderly_adult
HsapDv:0000229,101-year-old stage,elderly_adult
HsapDv:0000230,102-year-old stage,elderly_adult
HsapDv:0000231,103-year-old stage,elderly_adult
HsapDv:0000232,104-year-old stage,elderly_adult
HsapDv:0000233,105-year-old stage,elderly_adult
HsapDv:0000234,106-year-old stage,elderly_adult
HsapDv:0000248,107-year-old stage,elderly_adult
HsapDv:0000249,108-year-old stage,elderly_adult
HsapDv:0000250,109-year-old stage,elderly_adult
HsapDv:0000047,10th week post-fertilization stage,fetus
HsapDv:0000184,11-month-old stage,infant
HsapDv:0000105,11-year-old stage,adolescent
HsapDv:0000251,110-year-old stage,elderly_adult
HsapDv:0000252,111-year-old stage,elderly_adult
HsapDv:0000253,112-year-old stage,elderly_adult
HsapDv:0000254,113-year-old stage,elderly_adult
HsapDv:0000255,114-year-old stage,elderly_adult
HsapDv:0000048,11th week post-fertilization stage,fetus
HsapDv:0000185,12-month-old stage,infant
HsapDv:0000106,12-year-old stage,adolescent
HsapDv:0000049,12th week post-fertilization stage,fetus
HsapDv:0000186,13-month-old stage,infant
HsapDv:0000107,13-year-old stage,adolescent
HsapDv:0000050,13th week post-fertilization stage,fetus
HsapDv:0000187,14-month-old stage,infant
HsapDv:0000108,14-year-old stage,adolescent
HsapDv:0000051,14th week post-fertilization stage,fetus
HsapDv:0000268,15-19 year-old,adolescent
HsapDv:0000188,15-month-old stage,infant
HsapDv:0000109,15-year-old stage,adolescent
HsapDv:0000052,15th week post-fertilization stage,fetus
HsapDv:0000189,16-month-old stage,infant
HsapDv:0000110,16-year-old stage,adolescent
HsapDv:0000053,16th week post-fertilization stage,fetus
HsapDv:0000190,17-month-old stage,infant
HsapDv:0000111,17-year-old stage,adolescent
HsapDv:0000054,17th week post-fertilization stage,fetus
HsapDv:0000191,18-month-old stage,infant
HsapDv:0000112,18-year-old stage,adolescent
HsapDv:0000055,18th week post-fertilization stage,fetus
HsapDv:0000192,19-month-old stage,infant
HsapDv:0000113,19-year-old stage,adolescent
HsapDv:0000056,19th week post-fertilization stage,fetus
HsapDv:0000270,2-4 year-old child stage,child
HsapDv:0000175,2-month-old stage,infant
HsapDv:0000096,2-year-old stage,infant
HsapDv:0000193,20-month-old stage,infant
HsapDv:0000114,20-year-old stage,adolescent
HsapDv:0000057,20th week post-fertilization stage,fetus
HsapDv:0000194,21-month-old stage,infant
HsapDv:0000115,21-year-old stage,adult
HsapDv:0000058,21st week post-fertilization stage,fetus
HsapDv:0000195,22-month-old stage,infant
HsapDv:0000116,22-year-old stage,adult
HsapDv:0000059,22nd week post-fertilization stage,fetus
HsapDv:0000196,23-month-old stage,infant
HsapDv:0000117,23-year-old stage,adult
HsapDv:0000060,23rd week post-fertilization stage,fetus
HsapDv:0000118,24-year-old stage,adult
HsapDv:0000061,24th week post-fertilization stage,fetus
HsapDv:0000119,25-year-old stage,adult
HsapDv:0000062,25th week post-fertilization stage,fetus
HsapDv:0000120,26-year-old stage,adult
HsapDv:0000063,26th week post-fertilization stage,fetus
HsapDv:0000121,27-year-old stage,adult
HsapDv:0000064,27th week post-fertilization stage,fetus
HsapDv:0000122,28-year-old stage,adult
HsapDv:0000065,28th week post-fertilization stage,fetus
HsapDv:0000123,29-year-old stage,adult
HsapDv:0000066,29th week post-fertilization stage,fetus
HsapDv:0000176,3-month-old stage,infant
HsapDv:0000097,3-year-old stage,child
HsapDv:0000124,30-year-old stage,adult
HsapDv:0000067,30th week post-fertilization stage,fetus
HsapDv:0000125,31-year-old stage,adult
HsapDv:0000068,31st week post-fertilization stage,fetus
HsapDv:0000126,32-year-old stage,adult
HsapDv:0000069,32nd week post-fertilization stage,fetus
HsapDv:0000127,33-year-old stage,adult
HsapDv:0000070,33rd week post-fertilization stage,fetus
HsapDv:0000128,34-year-old stage,adult
HsapDv:0000071,34th week post-fertilization stage,fetus
HsapDv:0000129,35-year-old stage,adult
HsapDv:0000072,35th week post-fertilization stage,fetus
HsapDv:0000130,36-year-old stage,adult
HsapDv:0000073,36th week post-fertilization stage,fetus
HsapDv:0000131,37-year-old stage,adult
HsapDv:0000074,37th week post-fertilization stage,fetus
HsapDv:0000132,38-year-old stage,adult
HsapDv:0000075,38th week post-fertilization and over stage,fetus
HsapDv:0000133,39-year-old stage,adult
HsapDv:0000177,4-month-old stage,infant
HsapDv:0000098,4-year-old stage,child
HsapDv:0000134,40-year-old stage,adult
HsapDv:0000135,41-year-old stage,adult
HsapDv:0000136,42-year-old stage,adult
HsapDv:0000137,43-year-old stage,adult
HsapDv:0000138,44-year-old stage,adult
HsapDv:0000139,45-year-old stage,adult
HsapDv:0000140,46-year-old stage,adult
HsapDv:0000141,47-year-old stage,adult
HsapDv:0000142,48-year-old stage,adult
HsapDv:0000143,49-year-old stage,adult
HsapDv:0000178,5-month-old stage,infant
HsapDv:0000099,5-year-old stage,child
HsapDv:0000144,50-year-old stage,adult
HsapDv:0000145,51-year-old stage,older_adult
HsapDv:0000146,52-year-old stage,older_adult
HsapDv:0000147,53-year-old stage,older_adult
HsapDv:0000148,54-year-old stage,older_adult
HsapDv:0000149,55-year-old stage,older_adult
HsapDv:0000150,56-year-old stage,older_adult
HsapDv:0000151,57-year-old stage,older_adult
