id	name	MESH	def
MONDO:0000001	disease	MESH:D004194	"""A disease is a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism."" [OGMS:0000031]"
MONDO:0000004	adrenocortical insufficiency	MESH:D000309	"""An endocrine or hormonal disorder that occurs when the adrenal cortex does not produce enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex (Addison's disease or primary adrenal insufficiency) or to inadequate secretion of ACTH by the pituitary gland (secondary adrenal insufficiency)."" [NCIT:C26691]"
MONDO:0000022	nocturnal enuresis	MESH:D053206	"""Urination during sleep."" [NCIT:C118172]"
MONDO:0000082	pelvic organ prolapse	MESH:D056887	"""Abnormal descent of a pelvic organ resulting in the protrusion of the organ beyond its normal anatomical confines. Symptoms often include vaginal discomfort, dyspareunia; urinary stress incontinence; and fecal incontinence."" [MESH:D056887]"
MONDO:0000087	polymicrogyria	MESH:D065706	"""A developmental brain abnormality characterized by an excessive amount of small convolutions on the surface of the brain and cognitive dysfunction."" [NCIT:C116936]"
MONDO:0000088	precocious puberty	MESH:D011629	"""Unusually early sexual maturity."" [NCIT:C79704]"
MONDO:0000104	anemia, hypochromic microcytic with iron overload	MESH:C567144	
MONDO:0000105	anemia, nonspherocytic hemolytic	MESH:C567144	
MONDO:0000107	auriculocondylar syndrome	MESH:C538270	"""Auriculo-condylar syndrome (ACS) presents with bilateral external ear malformations ('question mark' ears), mandibular condyle hypoplasia, microstomia, micrognathia, microglossia and facial asymmetry. Additional manifestations include hypotonia, ptosis, cleft palate, puffy cheeks, developmental delay, impaired hearing and respiratory distress."" [Orphanet:137888]"
MONDO:0000110	bifid nose	MESH:C535441	"""Bifid nose is a rare congenital malformation of presumed autosomal dominant or recessive inheritance characterized by clefting of the nose ranging from a minimally noticeable groove in the columella to complete clefting of the underlying bones and cartilage (resulting in two half noses) with a usually adequate airway. Bifid nose may be seen in frontonasal dysplasia while other malformations such as hypertelorbitism and midline clefts of the lip may also be associated."" [Orphanet:2695]"
MONDO:0000111	camptodactyly syndrome, Guadalajara	MESH:C535441	
MONDO:0000114	cerebelloparenchymal disorder	MESH:C535441	
MONDO:0000115	Chiari malformation	MESH:D001139	"""A rare genetic brain malformation characterized by displacement of the brain stem and cerebellum through the foramen magnum. It may result in hydrocephalus."" [NCIT:C84570]"
MONDO:0000128	giant axonal neuropathy	MESH:D056768	"""A rare inherited disorder affecting the neurofilaments. It is caused by mutations in the GAN gene. It is characterized by the presence of abnormally large nerve cell axons. Signs and symptoms include difficulty walking, sensory disturbances, lack of motor coordination and abnormal reflexes in the limbs."" [NCIT:C84728]"
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	MESH:C537362	"""The Immunodeficiency, Centromeric region instability, Facial anomalies syndrome (ICF) is a rare autosomal recessive disease characterized by immunodeficiency, although B cells are present, and by characteristic rearrangements in the vicinity of the centromeres (the juxtacentromeric heterochromatin) of chromosomes 1 and 16 and sometimes 9."" [Orphanet:2268]"
MONDO:0000141	mosaic variegated aneuploidy syndrome	MESH:C536987	"""Mosaic variegated aneuploidy (MVA) syndrome is a chromosomal anomaly characterized by multiple mosaic aneuploidies that leads to a variety of phenotypic abnormalities and cancer predisposition."" [Orphanet:1052]"
MONDO:0000144	pregnancy loss, recurrent, susceptibility	MESH:C536987	
MONDO:0000153	transposition of the great arteries	MESH:D014188	"""A congenital cardiac defect in which two heart vessels are reversed (transposed)."" [NCIT:C84742]"
MONDO:0000155	triglyceride storage disease	MESH:D014188	"""An inherited metabolic disease that is has its basis in the disruption of sequestering of triglyceride."" [MONDO:patterns/inborn_metabolic]"
MONDO:0000158	developmental dysplasia of the hip	MESH:D000082602	"""A spectrum of hip abnormalities commonly presenting in infancy involving the relationship between the femoral head and the acetabulum and that includes subluxation or dislocation at rest or upon provocation."" [NCIT:P378]"
MONDO:0000159	bone marrow failure syndrome	MESH:C536572	
MONDO:0000170	microphthalmia, isolated, with coloboma	MESH:C537463	"""A developmental disorder of the eye characterized by unilateral or bilateral microphthalmia associated with ocular coloboma."" [Orphanet:98938]"
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	MESH:D058494	
MONDO:0000179	Neu-Laxova syndrome	MESH:C536405	"""Neu-Laxova syndrome (NLS) is a rare, multiple malformation syndrome characterised by severe intrauterine growth retardation (IUGR), severe microcephaly with a sloping forehead, severe ichthyosis (collodion baby type), and facial dysmorphism."" [Orphanet:2671]"
MONDO:0000190	ventricular fibrillation	MESH:D014693	"""A disorder characterized by an electrocardiographic finding of a rapid grossly irregular ventricular rhythm with marked variability in QRS cycle length, morphology, and amplitude. The rate is typically greater than 300 bpm. (CDISC)"" [NCIT:P378]"
MONDO:0000193	cortisone reductase deficiency	MESH:C536447	"""A disorder in which there is a failure to regenerate the active glucocorticoid cortisol from cortisone via 11beta-HSD1. The resulting lack of cortisol regeneration stimulates ACTH-mediated adrenal hyperandrogenism, with males manifesting in childhood with precocious pseudopuberty and females presenting in adolescence and early adulthood with hirsutism, oligoamenorrhea, and infertility."" [PMID:21325058]"
MONDO:0000200	Zimmermann-Laband syndrome	MESH:C536725	"""Zimmermann-Laband syndrome (ZLS) is a rare disorder characterized by gingival fibromatosis, coarse facial appearance, and absence or hypoplasia of nails or terminal phalanges of hands and feet."" [Orphanet:3473]"
MONDO:0000211	striatal degeneration, autosomal dominant	MESH:C563783	"""An adult-onset movement disorder characterized by bradykinesia, dysarthria and muscle rigidity."" [Orphanet:228169]"
MONDO:0000212	hypercalcemia, infantile	MESH:C562999	"""A hypercalcemia disease that occurs between 28 days to one year of life.."" [MONDO:design_pattern]"
MONDO:0000239	adiaspiromycosis	MESH:C000656784	"""Adiaspiromycosis is a rare fungal infection in the lung and is caused by inhalation of spores of the saprophytic soil fungus Chrysosporium parvum var crescens (previously known as Emmonsia crescens)."" [https://doi.org/10.1016/j.rmedc.2011.04.004]"
MONDO:0000241	Keshan disease	MESH:C536166	"""A congestive cardiomyopathy caused by a combination of dietary deficiency of selenium and the presence of a mutated strain of Coxsackievirus."" [Wikipedia:Keshan_disease]"
MONDO:0000242	tinea barbae	MESH:C000656825	"""A dermatophytosis that involves the beard."" [MONDO:patterns/location]"
