Experiment ID	Library ID	Anatomical entity ID	Anatomical entity name	Stage ID	Stage name	Sex	Strain	Expression mapped anatomical entity ID	Expression mapped anatomical entity name	Expression mapped stage ID	Expression mapped stage name	Expression mapped sex	Expression mapped strain	Platform ID	Protocol	Library type	Library orientation	TMM normalization factor	TPM expression threshold	Read count	Mapped read count	Min. read length	Max. read length	All genes percent present	Protein coding genes percent present	Intergenic regions percent present	Distinct rank count	Max rank in the expression mapped condition	Run IDs	Data source	Data source URL	Bgee normalized data URL	Raw file URL
SRP001696	SRX493950	UBERON:0000473	"testis"	FBdv:00007079	"day 4 of adulthood (fruit fly)"	male	"NA"	UBERON:0000473	"testis"	FBdv:00007079	"day 4 of adulthood (fruit fly)"	male	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.236407	0.102260	85294689	78823233	100	100	73.64	78.01	3.92	14911	NA	SRR1197301|SRR1197381|SRR1509505	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX493950	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX493950
SRP001696	SRX493999	UBERON:0000473	"testis"	FBdv:00007079	"day 4 of adulthood (fruit fly)"	male	"NA"	UBERON:0000473	"testis"	FBdv:00007079	"day 4 of adulthood (fruit fly)"	male	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.365299	0.057524	98483076	89614587	100	100	75.66	79.35	4.73	15307	NA	SRR1197297|SRR1197377|SRR1509504	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX493999	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX493999
SRP001696	SRX246422	UBERON:0000922	"embryo"	FBdv:00004450	"late extended germ band stage (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00004450	"late extended germ band stage (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.013980	0.100541	47972015	43841074	100	100	59.90	64.24	3.96	13442	NA	SRR767610	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246422	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246422
SRP001696	SRX494045	UBERON:0000922	"embryo"	FBdv:00004450	"late extended germ band stage (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00004450	"late extended germ band stage (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.993775	0.092574	64980322	59572044	100	100	61.04	65.25	4.43	13758	NA	SRR1197333	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX494045	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX494045
SRP001696	SRX246401	UBERON:0000922	"embryo"	FBdv:00005306	"embryonic stage 4 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005306	"embryonic stage 4 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.998762	0.123252	43283104	39728289	100	100	55.73	60.08	4.22	12885	NA	SRR767626	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246401	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246401
SRP001696	SRX494035	UBERON:0000922	"embryo"	FBdv:00005306	"embryonic stage 4 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005306	"embryonic stage 4 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.324184	0.412579	27032927	20712105	100	100	52.68	57.68	3.20	12193	NA	SRR1197368	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX494035	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX494035
SRP001696	SRX494124	UBERON:0000922	"embryo"	FBdv:00005306	"embryonic stage 4 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005306	"embryonic stage 4 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.970238	0.107022	62263886	56946189	100	100	56.80	61.10	4.81	13263	NA	SRR1197336	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX494124	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX494124
SRP001696	SRX246412	UBERON:0000922	"embryo"	FBdv:00005334	"embryonic stage 16 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005334	"embryonic stage 16 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.298295	0.131547	47875077	43172612	100	100	73.41	79.24	4.77	14696	NA	SRR767618	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246412	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246412
SRP001696	SRX494055	UBERON:0000922	"embryo"	FBdv:00005334	"embryonic stage 16 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005334	"embryonic stage 16 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.300245	0.125495	62094399	55875914	100	100	73.59	79.27	4.64	14848	NA	SRR1197331	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX494055	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX494055
SRP001696	SRX246402	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.940339	0.110672	53226900	46873308	100	100	75.40	81.80	4.73	14680	NA	SRR767625	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246402	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246402
SRP001696	SRX246411	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.238135	0.186361	47472498	41911423	100	100	74.68	80.92	4.56	14765	NA	SRR767620	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246411	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246411
SRP001696	SRX246414	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.937377	0.156624	59663117	51287269	100	100	74.75	81.09	4.69	14714	NA	SRR767622	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246414	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246414
SRP001696	SRX246418	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.256785	0.220526	45148414	39705932	100	100	73.94	79.66	4.73	15057	NA	SRR767605	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX246418	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246418
SRP001696	SRX493973	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	1.202295	0.167711	39273372	35692356	100	100	74.46	80.58	5.03	14895	NA	SRR1197363	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX493973	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX493973
SRP001696	SRX493978	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.930916	0.149896	78829554	67557759	100	100	75.00	81.11	4.69	14864	NA	SRR1197327	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX493978	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX493978
SRP001696	SRX494016	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	NA	"NA"	UBERON:0000922	"embryo"	FBdv:00005335	"embryonic stage 17 (fruit fly)"	not annotated	"wild-type"	Illumina HiSeq 2000	polyA	paired	NA	0.926480	0.105726	71447527	62682481	100	100	75.63	81.92	4.39	14868	NA	SRR1197328	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX494016	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX494016
