Experiment ID	Experiment name	Library count	Condition count	Organ-stage count	Organ count	Stage count	Sex count	Strain count	Data source	Data source URL	Bgee normalized data URL	Experiment description
SRP012682	"Genotype-Tissue Expression (GTEx) Common Fund Project"	4847	539	343	75	6	2	1	GTEx - dbGAP	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000424.v6.p1	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP012682.tsv.gz	"The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases. GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)"
ERP003613	"HPA RNA-seq normal tissues"	171	27	27	27	1	3	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP003613	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_ERP003613.tsv.gz	"RNA-seq was performed of tissue samples from 95 human individuals representing 27 different tissues in order to determine tissue-specificity of all protein-coding genes."
SRP163252	"Atlas of RNA sequencing profiles of normal human tissues"	158	23	23	23	1	3	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP163252	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP163252.tsv.gz	"Overall design: A total of 148 solid tissue samples representing 20 organs were taken from post-mortal human healthy donors killed in road accidents no later than 36 hours after death. Prior to RNA extraction solid normal tissue samples were stored either in RNAlater or as Formalin-Fixed Paraffin-Embedded (FFPE) blocks. Blood and bone marrow samples were taken from 6 and 11 healthy volunteers respectively and subjected immediately to RNA extraction. Following ribosomal RNA depletion and RNA libraries construction transcription profiles of the samples were obtained using Illumina HiSeq 3000."
SRP065273	"Transcriptome organization of primate neocortical layers and its human-specific change"	102	3	5	1	5	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP065273	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP065273.tsv.gz	"We developped the unsupervised sectioning coupled with RNA-seq to generate data to estimate the laminar transcriptome profiles for primate prefrontal cortex. Each cortical cube was cut into 17-18 sections (DS1) or 10 sections (DS2) which are horizontal to the cortical layers. RNA-seq was then applied to profile transcriptome in each section sample. With this data, we were able to estimate and compare the laminar transcriptome profiles in three primate species: human, chimpanzee and macaque, which also provided the power to identify the genes with human-specific laminar expression profile."
SRP127986	"Homo sapiens Genome sequencing"	65	2	9	1	9	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP127986	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP127986.tsv.gz	"Blood immunomonitoring uncovers pregnancy-induced immune programs and their dysregulation in lupus pregnancy destined for complications"
SRP029262	"Global transcriptomic analysis of human pancreatic islets reveals novel genes influencing glucose metabolism [RNA-seq]"	51	10	29	1	29	2	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP029262	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP029262.tsv.gz	"Here we harnessed the potential of RNA sequencing in 89 human pancreatic islet donors to identify genes and exons regulated in this relevant tissue for T2D. Overall design: mRNA profiles of 89 human pancreatic islet donors having different levels of blood glucose (HbA1c) with and without T2D. The data was generated by deep sequencing using Illumina HiSeq 2000."
SRP051844	"mRNA-Seq Expression profiling of human post-mortem BA9 brain tissue for Huntington's Disease and neurologically normal individuals"	49	8	35	1	35	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP051844	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP051844.tsv.gz	"20 Huntington's Disease and 49 neurologically normal control samples from post-mortem human subjects"
GSE30611	"[E-MTAB-513] Illumina Human Body Map 2.0 Project"	48	17	17	17	12	3	3	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30611	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE30611.tsv.gz	"Transcription profiling by high throughput sequencing of individual and mixture of 16 human tissues RNA."
SRP034732	"Variation in RNA-Seq transcriptome profiles of peripheral whole blood from healthy individuals with and without globin depletion"	47	3	1	1	1	3	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP034732	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP034732.tsv.gz	"In this study we aimed to assess technical variability associated with globin depletion in addition to assessing general technical variability in RNA-Seq from whole blood derived samples. We compared technical and biological replicates having undergone globin depletion or not and found that globin depletion removed approximately 80% of globin transcripts, improved the correlation of technical replicates, allowed for reliable detection of thousands of additional transcripts and generally increased transcript abundance measures. Overall design: Peripheral whole blood transcriptome assessed by RNA-Seq on Illumina HiSeq 2000 in 6 healthy individuals and 6 pooled samples, either globin depleted or not."
SRP105769	"Expression profile of early and mid-secretory healthy human endometrium revealed by RNA-seq"	40	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP105769	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP105769.tsv.gz	"Inner uterine lining or endometrium is a unique constantly self-renewed adult tissue that is vital for embryo implantation. As the footrace for universal endometrial receptivity markers continues, RNA-seq remains the most powerful tool for transcriptomic marker discovery. In this study, we aimed to elucidate endometrial maturation mechanisms at transcriptomic level and identify novel robust biomarker candidates for endometrial receptivity. Overall design: The differential gene expression profiles of early secretory and mid-secretory phase endometrial biopsies obtained from 20 healthy fertile women across one menstrual cycle were analysed using paired sample study design."
