Experiment ID	Library ID	Anatomical entity ID	Anatomical entity name	Stage ID	Stage name	Sex	Strain	Expression mapped anatomical entity ID	Expression mapped anatomical entity name	Expression mapped stage ID	Expression mapped stage name	Expression mapped sex	Expression mapped strain	Platform ID	Protocol	Library type	Library orientation	TMM normalization factor	TPM expression threshold	Read count	Mapped read count	Min. read length	Max. read length	All genes percent present	Protein coding genes percent present	Intergenic regions percent present	Distinct rank count	Max rank in the expression mapped condition	Run IDs	Data source	Data source URL	Bgee normalized data URL	Raw file URL
SRP013027	SRX1603101	UBERON:0000160	"intestine"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000160	"intestine"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.044514	0.152218	50765810	40058638	100	100	43.07	73.52	4.88	27230	NA	SRR3191967	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603101	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603101
SRP013027	SRX1603102	UBERON:0000160	"intestine"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000160	"intestine"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.015358	0.137860	60172356	48356326	100	100	43.02	73.78	4.83	27211	NA	SRR3191968	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603102	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603102
SRP013027	SRX1603271	UBERON:0000160	"intestine"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000160	"intestine"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	0.937326	0.117432	54500508	46002531	100	100	42.96	74.11	4.75	26810	NA	SRR3192253	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603271	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603271
SRP013027	SRX1603272	UBERON:0000160	"intestine"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000160	"intestine"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	0.891839	0.117303	53195360	45340369	100	100	42.16	73.70	4.67	26239	NA	SRR3192254	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603272	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603272
SRP013027	SRX1603302	UBERON:0000945	"stomach"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000945	"stomach"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.121846	0.185698	101346283	54759626	100	100	45.49	74.12	5.20	29490	NA	SRR3192290|SRR3192291|SRR3192292	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603302	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603302
SRP013027	SRX1603303	UBERON:0000945	"stomach"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000945	"stomach"	MmusDv:0000032	"Theiler stage 23 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.062458	0.178238	66084918	51138301	100	100	42.90	73.84	4.89	27754	NA	SRR3192293	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603303	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603303
SRP013027	SRX1603121	UBERON:0000945	"stomach"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000945	"stomach"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.028443	0.159894	35697654	28745089	100	100	42.93	74.43	4.68	26481	NA	SRR3191996	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603121	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603121
SRP013027	SRX1603122	UBERON:0000945	"stomach"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000945	"stomach"	MmusDv:0000033	"Theiler stage 24 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.011889	0.166300	62098040	49178264	100	100	43.01	74.56	4.76	27507	NA	SRR3191997	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX1603122	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1603122
SRP013027	SRX2244892	UBERON:0000948	"heart"	MmusDv:0000024	"Theiler stage 17 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000948	"heart"	MmusDv:0000024	"Theiler stage 17 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	1.033769	0.183194	62350247	48489199	100	100	40.30	69.66	4.67	26353	NA	SRR4422626|SRR4422627	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX2244892	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2244892
SRP013027	SRX2244893	UBERON:0000948	"heart"	MmusDv:0000024	"Theiler stage 17 (mouse)"	mixed	"C57BL/6Cr"	UBERON:0000948	"heart"	MmusDv:0000024	"Theiler stage 17 (mouse)"	mixed	"C57BL/6Cr"	Illumina HiSeq 2500	polyA	single	NA	0.922790	0.157846	55109611	44147858	100	100	39.37	68.02	4.56	25740	NA	SRR4422628|SRR4422629	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX2244893	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Mus_musculus/Mus_musculus_RNA-Seq_read_counts_TPM_FPKM_SRP013027.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2244893
