Experiment ID	Library ID	Anatomical entity ID	Anatomical entity name	Stage ID	Stage name	Sex	Strain	Expression mapped anatomical entity ID	Expression mapped anatomical entity name	Expression mapped stage ID	Expression mapped stage name	Expression mapped sex	Expression mapped strain	Platform ID	Protocol	Library type	Library orientation	TMM normalization factor	TPM expression threshold	Read count	Mapped read count	Min. read length	Max. read length	All genes percent present	Protein coding genes percent present	Intergenic regions percent present	Distinct rank count	Max rank in the expression mapped condition	Run IDs	Data source	Data source URL	Bgee normalized data URL	Raw file URL
ERP104395	ERX2187525	UBERON:0000082	"adult mammalian kidney"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000082	"adult mammalian kidney"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.149209	0.187132	29802306	22733423	50	50	48.94	66.89	3.88	17965	NA	ERR2130673	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187525	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187525
ERP104395	ERX2187526	UBERON:0000082	"adult mammalian kidney"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000082	"adult mammalian kidney"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.194676	0.248867	27093035	20343089	50	50	48.89	66.86	3.86	18054	NA	ERR2130674	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187526	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187526
ERP104395	ERX2187527	UBERON:0000082	"adult mammalian kidney"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000082	"adult mammalian kidney"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.208111	0.259338	23084479	17239404	50	50	47.81	65.54	3.92	17558	NA	ERR2130675	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187527	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187527
ERP104395	ERX2187537	UBERON:0000945	"stomach"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000945	"stomach"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.091840	0.138825	28600634	22239926	50	50	51.28	70.14	3.54	18342	NA	ERR2130685	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187537	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187537
ERP104395	ERX2187538	UBERON:0000945	"stomach"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000945	"stomach"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.022982	0.131172	30017138	23704068	50	50	50.57	69.40	3.53	18195	NA	ERR2130686	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187538	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187538
ERP104395	ERX2187539	UBERON:0000945	"stomach"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000945	"stomach"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.173799	0.130279	28757619	22145497	50	50	52.05	71.27	3.36	18448	NA	ERR2130687	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187539	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187539
ERP104395	ERX2187516	UBERON:0000948	"heart"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000948	"heart"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	0.917920	0.137032	28354352	21704078	50	50	48.57	66.70	3.52	17777	NA	ERR2130664	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187516	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187516
ERP104395	ERX2187517	UBERON:0000948	"heart"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000948	"heart"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	0.816265	0.117158	29319725	22977816	50	50	47.85	65.64	3.30	17438	NA	ERR2130665	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187517	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187517
ERP104395	ERX2187518	UBERON:0000948	"heart"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000948	"heart"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	0.907841	0.111004	25058566	19751971	50	50	48.52	66.24	3.37	17424	NA	ERR2130666	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187518	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187518
ERP104395	ERX2187504	UBERON:0000955	"brain"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	UBERON:0000955	"brain"	UBERON:0018241	"prime adult stage"	male	"Wistar Han"	Illumina HiSeq 2000	polyA	single	NA	1.434063	0.294232	26086706	18584336	50	50	52.53	71.84	3.84	18759	NA	ERR2130652	SRA	https://www.ncbi.nlm.nih.gov/sra/ERX2187504	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=ERX2187504
