Sample ID	Manual annotation	Sample info #manual annotation	UBER_ID	MONDO_ID
SRR032116	liver		UBERON:0002107	na
SRR032118	liver		UBERON:0002107	na
SRR032119	liver		UBERON:0002107	na
SRR032120	liver		UBERON:0002107	na
SRR032121	liver		UBERON:0002107	na
SRR032122	liver		UBERON:0002107	na
SRR032123	liver		UBERON:0002107	na
SRR032124	liver		UBERON:0002107	na
SRR032125	liver		UBERON:0002107	na
SRR032126	liver		UBERON:0002107	na
SRR032127	liver		UBERON:0002107	na
SRR039620	liver	adjacent normal tissue of hepatocellular carcinoma	UBERON:0002107	na
SRR039622	liver	adjacent normal tissue of hepatocellular carcinoma	UBERON:0002107	na
SRR039625	liver	hepatocellular carcinoma	UBERON:0002107	MONDO:0007257
SRR039628	brain		UBERON:0000955	na
SRR039629	brain		UBERON:0000955	na
SRR039630	brain		UBERON:0000955	na
SRR039631	brain		UBERON:0000955	na
SRR039632	brain		UBERON:0000955	na
SRR039633	brain		UBERON:0000955	na
SRR057629	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057630	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057631	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057632	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057633	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057634	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057635	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057636	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057637	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057638	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057639	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057640	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057641	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057642	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057643	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057644	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057645	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057646	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057647	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057648	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR057649	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057650	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057651	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057652	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057653	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057654	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057655	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057656	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057657	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR057658	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR060734	retina		UBERON:0000966	na
SRR066423	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR066430	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR066437	prostate gland	prostate adenocarcinoma	UBERON:0002367	MONDO:0005159
SRR066451	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR066453	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR066455	prostate gland	adjacent normal tissue of prostate adenocarcinoma	UBERON:0002367	na
SRR070232	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070234	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070235	kidney	kidney cancer	UBERON:0002113	MONDO:0002367
SRR070238	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070240	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070241	kidney	kidney cancer	UBERON:0002113	MONDO:0002367
SRR070242	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070243	kidney	kidney cancer	UBERON:0002113	MONDO:0002367
SRR070245	kidney	kidney cancer	UBERON:0002113	MONDO:0002367
SRR070246	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070247	kidney	kidney cancer	UBERON:0002113	MONDO:0002367
SRR070248	kidney	adjacent normal tissue of kidney cancer	UBERON:0002113	na
SRR070249	kidney	kidney cancer	UBERON:0002113	MONDO:0002367
SRR1002075	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002076	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002077	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002078	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002079	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002080	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002081	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002082	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002083	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002084	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002085	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002086	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002087	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002088	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002089	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002091	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002092	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002093	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002094	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002095	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002096	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002097	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002098	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002099	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002100	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1002101	breast	breast cancer	UBERON:0000310	MONDO:0007254
SRR1004284	prefrontal cortex		UBERON:0000451	na
SRR1004285	prefrontal cortex		UBERON:0000451	na
SRR1004286	prefrontal cortex		UBERON:0000451	na
SRR1004287	prefrontal cortex		UBERON:0000451	na
SRR1004288	prefrontal cortex		UBERON:0000451	na
SRR1004289	prefrontal cortex		UBERON:0000451	na
SRR1004290	prefrontal cortex		UBERON:0000451	na
SRR1004291	prefrontal cortex		UBERON:0000451	na
SRR1004292	prefrontal cortex		UBERON:0000451	na
SRR1004293	prefrontal cortex		UBERON:0000451	na
SRR1004294	prefrontal cortex		UBERON:0000451	na
SRR1004295	prefrontal cortex		UBERON:0000451	na
SRR1004296	prefrontal cortex		UBERON:0000451	na
SRR1004297	prefrontal cortex		UBERON:0000451	na
SRR1004298	prefrontal cortex		UBERON:0000451	na
SRR1004299	prefrontal cortex		UBERON:0000451	na
SRR1004300	prefrontal cortex		UBERON:0000451	na
SRR1004301	prefrontal cortex		UBERON:0000451	na
SRR1004302	prefrontal cortex		UBERON:0000451	na
SRR1004303	prefrontal cortex		UBERON:0000451	na
SRR1004304	prefrontal cortex		UBERON:0000451	na
SRR1004305	prefrontal cortex		UBERON:0000451	na
SRR1004306	prefrontal cortex		UBERON:0000451	na
SRR1004307	prefrontal cortex		UBERON:0000451	na
SRR1004308	prefrontal cortex		UBERON:0000451	na
SRR1004309	prefrontal cortex		UBERON:0000451	na
SRR1004310	prefrontal cortex		UBERON:0000451	na
SRR1004311	prefrontal cortex		UBERON:0000451	na
SRR1004312	prefrontal cortex		UBERON:0000451	na
SRR1004313	prefrontal cortex		UBERON:0000451	na
SRR1004314	prefrontal cortex		UBERON:0000451	na
SRR1004315	prefrontal cortex		UBERON:0000451	na
SRR1004316	prefrontal cortex		UBERON:0000451	na
SRR1004317	prefrontal cortex		UBERON:0000451	na
SRR1004318	prefrontal cortex		UBERON:0000451	na
SRR1004319	prefrontal cortex		UBERON:0000451	na
SRR1004320	prefrontal cortex		UBERON:0000451	na
SRR1004321	prefrontal cortex		UBERON:0000451	na
SRR1012314	skin of body	diffuse large B-cell lymphoma	UBERON:0002097	MONDO:0018905
SRR1012319	skin of body	follicular lymphoma	UBERON:0002097	MONDO:0018906
SRR1019689	blood		UBERON:0000178	na
SRR1024120	primary motor cortex		UBERON:0001384	na
SRR1024121	cingulate gyrus		UBERON:0002967	na
SRR1024123	cingulate gyrus		UBERON:0002967	na
SRR1024124	primary motor cortex		UBERON:0001384	na
SRR1024125	cingulate gyrus		UBERON:0002967	na
SRR1024126	cingulate gyrus		UBERON:0002967	na
SRR1024127	primary motor cortex		UBERON:0001384	na
SRR1024128	cingulate gyrus		UBERON:0002967	na
SRR1024129	primary motor cortex		UBERON:0001384	na
SRR1024133	primary motor cortex		UBERON:0001384	na
SRR1024134	cingulate gyrus		UBERON:0002967	na
SRR1024135	primary motor cortex		UBERON:0001384	na
SRR1024136	cingulate gyrus		UBERON:0002967	na
SRR1024138	primary motor cortex		UBERON:0001384	na
SRR1026870	blood		UBERON:0000178	na
SRR1026873	blood		UBERON:0000178	na
SRR1026875	blood		UBERON:0000178	na
SRR1026879	blood		UBERON:0000178	na
SRR1026881	blood		UBERON:0000178	na
SRR1026885	blood		UBERON:0000178	na
SRR1026889	blood		UBERON:0000178	na
SRR1026891	blood		UBERON:0000178	na
SRR1026895	blood		UBERON:0000178	na
SRR1026898	blood		UBERON:0000178	na
SRR1026900	blood		UBERON:0000178	na
SRR1026902	blood		UBERON:0000178	na
SRR1026906	blood		UBERON:0000178	na
SRR1026910	blood		UBERON:0000178	na
SRR1026914	blood		UBERON:0000178	na
SRR1026918	blood		UBERON:0000178	na
SRR1026922	blood		UBERON:0000178	na
SRR1026924	blood		UBERON:0000178	na
SRR1026926	blood		UBERON:0000178	na
