Johnson_2023	DiSignAtlas	Gu_2023	ALE	Sirota_2011	Cello	KrishnanLab	URSA_HD	BGee	URSA	Golightly_2018
19080.0	1555.0	989.0	417.0	22.0	93.0	2986.0	1042.0	84.0	2461.0	1397.0
1555.0	74297.0	387.0	1690.0	383.0	311.0	1154.0	1344.0	23.0	1591.0	565.0
989.0	387.0	6272.0	0.0	0.0	14.0	389.0	0.0	264.0	0.0	0.0
417.0	1690.0	0.0	34012.0	437.0	0.0	1213.0	870.0	0.0	1562.0	400.0
22.0	383.0	0.0	437.0	2450.0	0.0	198.0	180.0	0.0	220.0	0.0
93.0	311.0	14.0	0.0	0.0	3756.0	167.0	0.0	0.0	0.0	0.0
2986.0	1154.0	389.0	1213.0	198.0	167.0	19205.0	1674.0	95.0	8072.0	120.0
1042.0	1344.0	0.0	870.0	180.0	0.0	1674.0	6820.0	0.0	2068.0	0.0
84.0	23.0	264.0	0.0	0.0	0.0	95.0	0.0	1615.0	0.0	0.0
2461.0	1591.0	0.0	1562.0	220.0	0.0	8072.0	2068.0	0.0	11845.0	249.0
1397.0	565.0	0.0	400.0	0.0	0.0	120.0	0.0	0.0	249.0	7558.0
