Gemma	DiSignAtlas	Sirota_2011	ALE	Cello	KrishnanLab	URSA	BGee	CREEDS	Johnson_2023	URSA_HD	Golightly_2018	Gu_2023
17995.0	676.0	39.0	286.0	24.0	129.0	121.0	43.0	116.0	101.0	82.0	9.0	55.0
676.0	3151.0	16.0	53.0	6.0	46.0	34.0	5.0	64.0	43.0	46.0	6.0	25.0
39.0	16.0	138.0	12.0	0.0	2.0	2.0	0.0	25.0	0.0	2.0	0.0	0.0
286.0	53.0	12.0	1099.0	1.0	52.0	65.0	1.0	35.0	25.0	26.0	2.0	1.0
24.0	6.0	0.0	1.0	269.0	10.0	0.0	3.0	0.0	10.0	0.0	0.0	16.0
129.0	46.0	2.0	52.0	10.0	711.0	210.0	15.0	13.0	48.0	16.0	2.0	25.0
121.0	34.0	2.0	65.0	0.0	210.0	317.0	0.0	17.0	31.0	28.0	2.0	0.0
43.0	5.0	0.0	1.0	3.0	15.0	0.0	299.0	0.0	12.0	0.0	0.0	19.0
116.0	64.0	25.0	35.0	0.0	13.0	17.0	0.0	209.0	9.0	19.0	1.0	0.0
101.0	43.0	0.0	25.0	10.0	48.0	31.0	12.0	9.0	326.0	8.0	4.0	24.0
82.0	46.0	2.0	26.0	0.0	16.0	28.0	0.0	19.0	8.0	124.0	0.0	0.0
9.0	6.0	0.0	2.0	0.0	2.0	2.0	0.0	1.0	4.0	0.0	30.0	0.0
55.0	25.0	0.0	1.0	16.0	25.0	0.0	19.0	0.0	24.0	0.0	0.0	243.0
