ALE	BGee	CellO	DiSignAtlas	Golightly_2028	Gu_2023	Johnson_2023	KrishnanLab	Sirota_2011	URSA	URSA_HD
36890	0	0	2507	400	0	1274	1899	566	2277	1450
0	1637	51	74	0	299	138	181	0	0	0
0	51	3893	516	0	117	248	684	0	0	0
2507	74	516	77031	590	673	2292	1899	519	1845	2019
400	0	0	590	7569	0	2249	120	0	249	0
0	299	117	673	0	6750	1098	803	0	0	0
1274	138	248	2292	2249	1098	21317	4197	40	3132	1387
1899	181	684	1899	120	803	4197	21856	257	9442	2094
566	0	0	519	0	0	40	257	3043	257	217
2277	0	0	1845	249	0	3132	9442	257	12286	2310
1450	0	0	2019	0	0	1387	2094	217	2310	7021
